id,subject,body,label
1,red rock adm ctrc 27698,attached is the spreadsheet for the red rock expansion administrative contract # 27698 . please let me know if you have any questions .,0
2,Please Understand,"FROM THE DESK OF:
MR.WANG QIN
HANG SENG BANK LTD.
DES VOEUX RD.BRANCH
CENTRAL HONG KONG
HONG KONG.

I am Mr.Wang Qin, credit officer of Hang Seng Bank
Ltd. I have an urgent and very confidential business
proposition for you.

On June 6, 1998, a British Oil consultant/contractor
with the Chinese Solid Minerals Corporation, Mr. Smith
Lawrence made a numbered time (Fixed) Deposit for
twelve calendar months, valued at $48,000,000.00
(Forty-eight Million American Dollars only) in my
branch.

Upon maturity,I sent a routine notification to his
forwarding address but got no reply. After a month, we
sent a reminder and finally we discovered from his
contract employers, the Hong Kong Solid Minerals
Corporation that Mr. Smith Lawrence died from an
auto-mobile accident.

On further investigation, I found out that he died
without making a WILL,and all attempts to trace his
next of kin was fruitless.

I therefore made further investigation and discovered
that Mr.Smith Lawrence did not declare any kin or
relations in all his official documents,including his
Bank Deposit paperwork in my Bank.This sum of
$48,000,000.00 is still sitting in my Bank and the
interest is being rolled over with the principal sum
at the end ofeach year. No one will ever come forward
to claim it.

According to Laws of Hong Kong, at the expiration of
(five) years,the money will revert to the ownership of
the Hong Kong Government if nobody applies to claim
the fund.

Consequently, my proposal is that I will like you as a
foreigner to stand in as the next of kin to Mr. Smith
Lawrence so that the fruits of this old man's labor
will not get into the hands of some corrupt government
officials.

This is simple, I will like you to provide immediately
your full names and address so that the attorney will
prepare the necessary documents and affidavits that
will put you in place as the next of kin.We shall
employ the services of an attorney for drafting and
notarization of the WILL and to obtain the necessary
documents and letter of probate/administration in your
favor for the transfer.

A bank account in any part of the world that you will
provide the will, then facilitate the transfer of this
money to you as the beneficiary/next of kin.

The money will be paid into your account for us to
share in the ratio of 70%for me and 25% for you and 5%
for Expenses Incurred in the course of the transaction
.

There is no risk at all as all the paperwork for this
transaction will be done by the attorney and with my
position as the credit officer guarantees the
successful execution of this transaction. If you are
interested, please reply immediately to my email box.

Upon your response, I shall then provide you with more
details and relevant documents that will help you
understand the transaction.

Please send me your confidential telephone and fax
numbers for easy communication.

You should observe utmost confidentiality, and rest
assured that this transaction would be most profitable
for both of us because I shall require your assistance
to invest my share in your country.

For confidentiality Reasons, I advice that to respond
strictly to this email address:w_qin@fastermail.com.
Aaiting your response.

Regards,
Wang Qin
Reply Strictly to: w_qin@fastermail.com





",1
3,[IP] The Vanishing Click-Fraud Case ,"Begin forwarded message: From: Tony Rajakumar  Date: December 4, 2006 2:47:59 PM EST To: ""'David Farber'""  Subject: The Vanishing Click-Fraud Case Reply-To: arajakum@computer.org Dave â for IP if you wish. An arrested click-fraudster who claimed to   make $30k a month via Google click-fraud is now freed because of a   possible lack of cooperation from Google. http://yahoo.businessweek.com/technology/content/dec2006/  tc20061204_923336.htm Tony Rajakumar Victrio Inc. tonyr@victrio.com ------------------------------------- You are subscribed as R@M To manage your subscription, go to   http://v2.listbox.com/member/?listname=ip Archives at: http://www.interesting-people.org/archives/interesting-people/",1
4,schedule crawler : hourahead failure,"start date : 1 / 20 / 02 ; hourahead hour : 7 ; hourahead schedule download failed . manual intervention required .
log messages :
parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002012007 . txt
error : dbcaps 97 data : cannot perform this operation on a closed database
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
error : dbcaps 97 data : cannot perform this operation on a closed database
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
error : dbcaps 97 data : cannot perform this operation on a closed database
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
error : dbcaps 97 data : cannot perform this operation on a closed database
error : dbcaps 97 data : cannot perform this operation on a closed database
error : dbcaps 97 data : cannot perform this operation on a closed database
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
! ! ! unknown database .
alias : dbcaps 97 data
error : dbcaps 97 data : cannot perform this operation on a closed database",0
5,fw : cms opportunity,"fyi - lets talk about this today .
- - - - - original message - - - - -
from : gregory . felton @ cgiusa . com @ enron
sent : monday , march 26 , 2001 10 : 30 am
to : jafry , rahil
subject : cms opportunity
jafry ,
here is the actual presentation requirements as per the rfp . we can deviate
from the form , but must address their stated requirements . i think we
should structure the enron portion as follows :
i . enw overview
ii . products and services
iii . engagement approach
let me know what you think . we need to pull this together today .
i ' ve also attached the material steve sent me previously .
thanks ,
greg
office : ( 713 ) 868 - 5537 xl 148
mobile : ( 281 ) 787 - 9760
email : gregory . felton @ cgiusa . com
- cms panhandle pipe line - rfpl . doc",0
6,ATTN:DID YOU GET MY E-MAIL?,"ATTN: DID YOU GET MY E-MAIL?

My Name is Mr. Nelson Brown, a senior 
Auditor Heading computing department here in our bank.

On my routine 
inspection I discovered a dormant domiciliary account with a Balance of 
( THIRTY FIVE MILLION POUNDS ONLY}  I have only written to seek your 
indulgence and assistance in transfering this fund.

I am proposing to 
make this transfer to a designated bank account of your choice. Thus, i 
need your indulgence and support,as your share will be 25% of the total 
transfer sum after the transfer has been  successfully concluded, 5% 
will be set aside for any expenses that both of us might incure during 
the transfer and 5% will be devoted for charity.

Let me know if you 
can handle it. 
Best Regards, 
Mr Nelson Brown.


",1
7,el paso outage now through november 20,el paso said the pecos river station ' s # 2 turbine will remain down longer than planned due to damage discovered during an ongoing overhaul . capacity through pecos river will be cut by 60 mmcf / d through nov . 20 .,0
8,"enrononline weekly public report for october 29 , 2001","the information contained in the weekly public report can be communicated to audiences outside the company and should be used to ensure that we present a consistent message to the public . please ensure that this email is distributed to anyone in your group who needs to discuss enrononline with individuals outside the company .
this report is not intended to be used as a stand - alone presentation , nor that all the information be used in a single presentation or customer communication .
total life to date transactions > 1 , 600 , 000
average daily transactions > 6 , 000
life to date notional value of transactions > $ 880 billion
daily notional value approximately $ 2 . 5 billion
number of products offered : approximately 2 , 100
number of currencies traded in = 15
enrononline version 1 . 0 launch date : november 29 , 1999
enrononline version 2 . 0 launch date : september 18 , 2000
due to size constraints on the outlook system , the public report will no longer be distributed .
a complete copy of the report can now be accessed directly through the enrononline
intranet site at http : / / eolinfo . enron . com .
in order to access this report , click on the link above . once there , follow the link entitled "" reports "" and then select the "" public reports "" tab . a dropdown menu will appear with a list of the various public reports available for viewing . .
we look forward to your feedback and comments . if you have any questions or experience any difficulties accessing your reports through the intranet site , please feel free to contact either bryan deluca at x 36161 or fraisy george at x 35424 .",0
9,Email from Samiu,"Hello

This letter may come to you as a surprise due to the fact that we have not yet met. I have to say that I have no intentions of causing you any pains so i 
decided to contact you through this medium.

As you read this, I don't want you to feel sorry for me, because, I believe everyone will die someday. My name is Razaq Samiu, a merchant in Dubai, in the 
U.A.E. I have been diagnosed with prostate and esophageal Cancer that was discovered very late due to my laxity in caring for my health. It has 
defiled all form of medicine and right now, I have only about a few months to live according to medical experts. 

I have not particularly lived my life so well, as I never really cared for anyone not even myself but my business. Though I am very rich, I was never generous, I was always hostile to people and only focus on my business as that was the only thing I cared for. But now I regret all this as I now know 
that there is more to life than just wanting to have or make all the money in the world. I believe when God gives me a second chance to come to this 
world I would live my life a different way from how I have lived it. Now that I know my time is near, I have willed and given most of my properties 
and assets to my immediate and extended family members and as well as a few close friends and Schools in the UAE. I have decided to give alms to charity organizations, as I want this to be one of the last good deeds I do on earth. So far, I have distributed money to some charity organizations in the U.A.E, 
England and Ireland. Now that my health has deteriorated so badly, I cannot do this my self any more. I once asked members of my family to close one of my accounts and donate the money, which I have there to charity organization in Bulgaria, they refused and kept the money to themselves. Hence, I do not trust them anymore, as they seem not to be contended with what I have left for them. The last of my money which is the huge cash that I deposit in a bank in England Uk.

I want you to help me collect this deposit and dispatched it to charity organizations and let them know that it is I Razaq Samiu that is making this generous donation. 

I am writing this from my laptop computer in my hospital bed in England where I wait for my time to come. If you are interested to help me i will give you more information about this like the amount that i deposited in the bank and Contact of the bank so you can contcat them. I will also send you a picture of my self when i am on my laptop in the hospital. 

Note that you will take 20% out of the funds and give 80% to the charity organizations. I pray that God uses you to support and assist me with good heart God be with you. 

If you can help respond back to me on my private email: razaqin01@yahoo.es 

You can call me on: 44-785-258-3060  but not all the time the doctor will allow me to pick my phone calls.

Razaq Samiu







",1
10,swaps monitor research .,"we have today published information about the global exchange - traded options and futures volume . this research is contained in the attached pdf file .
through our web site , swapsmonitor . com , you can obtain additional information about otc derivatives dealers , including rankings and a database of outstandings going back to 1994 .
as an e - mail subscriber to our research , you will automatically receive all free research at the same time it is placed on our web site . if you wish to remove your name from the e - mailing list , please use the reply feature of your e - mail application and type the word "" remove "" in the subject line .
regards ,
- total _ et . pdf
andrei osonenko
research department",0
